Years,Domain,GDP
2010,Audio-Visual and Interactive Media,364299490
2011,Audio-Visual and Interactive Media,431327770
2012,Audio-Visual and Interactive Media,446032959
2013,Audio-Visual and Interactive Media,365077042
2014,Audio-Visual and Interactive Media,398413739
2015,Audio-Visual and Interactive Media,380595635
2016,Audio-Visual and Interactive Media,416538820
2017,Audio-Visual and Interactive Media,410366557
2018,Audio-Visual and Interactive Media,346922934
2019,Audio-Visual and Interactive Media,355833604
2010,Education and Training,140253952
2011,Education and Training,163360009
2012,Education and Training,157213654
2013,Education and Training,144035988
2014,Education and Training,134340214
2015,Education and Training,134212574
2016,Education and Training,149102832
2017,Education and Training,143175561
2018,Education and Training,149186289
2019,Education and Training,153512269
2010,"Governance, Funding and Professional Support",834043867
2011,"Governance, Funding and Professional Support",900748641
2012,"Governance, Funding and Professional Support",844983771
2013,"Governance, Funding and Professional Support",979189672
2014,"Governance, Funding and Professional Support",1269836768
2015,"Governance, Funding and Professional Support",1069928535
2016,"Governance, Funding and Professional Support",1215446438
2017,"Governance, Funding and Professional Support",1084005646
2018,"Governance, Funding and Professional Support",1283683223
2019,"Governance, Funding and Professional Support",1175902819
2010,Heritage and Libraries,11006104
2011,Heritage and Libraries,13828330
2012,Heritage and Libraries,14363401
2013,Heritage and Libraries,15587487
2014,Heritage and Libraries,11713324
2015,Heritage and Libraries,12850991
2016,Heritage and Libraries,12544304
2017,Heritage and Libraries,13402769
2018,Heritage and Libraries,13866995
2019,Heritage and Libraries,15359924
2010,Live Performance,63028475
2011,Live Performance,47612231
2012,Live Performance,63344686
2013,Live Performance,34275714
2014,Live Performance,39432248
2015,Live Performance,43524365
2016,Live Performance,48075412
2017,Live Performance,44172816
2018,Live Performance,42017786
2019,Live Performance,45311049
2010,Multi,31073065
2011,Multi,33093323
2012,Multi,51481871
2013,Multi,36104249
2014,Multi,33765512
2015,Multi,24212648
2016,Multi,25133770
2017,Multi,34919447
2018,Multi,21898630
2019,Multi,23496154
2010,Non-Culture Products,431182516
2011,Non-Culture Products,482681467
2012,Non-Culture Products,515883737
2013,Non-Culture Products,527941174
2014,Non-Culture Products,624091470
2015,Non-Culture Products,573398860
2016,Non-Culture Products,633584548
2017,Non-Culture Products,606889020
2018,Non-Culture Products,662082561
2019,Non-Culture Products,657413117
2010,Non-Sport Products,67011553
2011,Non-Sport Products,54639974
2012,Non-Sport Products,52097551
2013,Non-Sport Products,55855514
2014,Non-Sport Products,76795059
2015,Non-Sport Products,65398336
2016,Non-Sport Products,87673119
2017,Non-Sport Products,76522559
2018,Non-Sport Products,86758837
2019,Non-Sport Products,79335501
2010,Sound Recording,5114636
2011,Sound Recording,5230974
2012,Sound Recording,6497429
2013,Sound Recording,5633138
2014,Sound Recording,6659237
2015,Sound Recording,7128016
2016,Sound Recording,8471934
2017,Sound Recording,7958940
2018,Sound Recording,8987935
2019,Sound Recording,8902513
2010,Sport,358739884
2011,Sport,294133575
2012,Sport,287016036
2013,Sport,297107557
2014,Sport,400572215
2015,Sport,331102742
2016,Sport,377763076
2017,Sport,328542271
2018,Sport,373367003
2019,Sport,337967785
2010,Visual and Applied Arts,191075690
2011,Visual and Applied Arts,209865471
2012,Visual and Applied Arts,220195777
2013,Visual and Applied Arts,196319109
2014,Visual and Applied Arts,226864311
2015,Visual and Applied Arts,236971117
2016,Visual and Applied Arts,248549071
2017,Visual and Applied Arts,253674752
2018,Visual and Applied Arts,264583039
2019,Visual and Applied Arts,270956248
2010,Written and Published Works,234272632
2011,Written and Published Works,243724675
2012,Written and Published Works,289026121
2013,Written and Published Works,261200506
2014,Written and Published Works,252201530
2015,Written and Published Works,199186725
2016,Written and Published Works,277221441
2017,Written and Published Works,279871448
2018,Written and Published Works,234607007
2019,Written and Published Works,230682444
