Municipal GDP  Figures,,,,,,,,,,,
Domain,Subdomain,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Heritage and Libraries,Archives," $623,333 "," $767,925 "," $956,982 "," $1,322,387 "," $1,509,624 "," $1,845,579 "," $1,516,465 "," $1,936,258 "," $1,844,916 "," $65,487 "
,Libraries," $114,786 "," $153,428 "," $171,300 "," $253,940 "," $160,869 "," $202,456 "," $241,348 "," $474,751 "," $455,420 "," $394,724 "
,Culture Heritage," $9,408,940 "," $11,220,682 "," $11,863,815 "," $12,713,275 "," $8,984,958 "," $10,214,656 "," $10,051,679 "," $10,071,067 "," $10,733,679 "," $14,432,288 "
,Natural Heritage," $859,045 "," $1,686,295 "," $1,371,304 "," $1,297,885 "," $1,057,873 "," $588,300 "," $734,812 "," $920,693 "," $832,980 "," $467,425 "
Live Performance,Performing Arts," $53,825,350 "," $41,677,135 "," $54,565,454 "," $22,474,722 "," $27,757,835 "," $37,178,337 "," $34,967,686 "," $30,272,499 "," $31,918,535 "," $33,934,427 "
,Festivals and Celebrations," $9,203,125 "," $5,935,096 "," $8,779,232 "," $11,800,992 "," $11,674,413 "," $6,346,028 "," $13,107,726 "," $13,900,317 "," $10,099,251 "," $11,376,622 "
Visual and Applied Arts,Original Visual Art," $5,371,659 "," $6,065,592 "," $4,699,856 "," $5,132,496 "," $4,428,599 "," $3,571,306 "," $4,043,609 "," $3,889,650 "," $4,258,256 "," $4,086,121 "
,Art Reproductions," $2,703,217 "," $2,734,538 "," $2,828,827 "," $2,738,846 "," $2,939,664 "," $2,109,719 "," $2,638,255 "," $2,903,458 "," $2,226,060 "," $2,323,615 "
,Photography," $16,202,543 "," $20,069,922 "," $23,190,041 "," $23,375,298 "," $28,934,957 "," $31,576,621 "," $30,472,000 "," $24,828,459 "," $30,677,166 "," $34,083,718 "
,Crafts," $4,958,257 "," $5,278,975 "," $4,923,828 "," $4,557,574 "," $4,817,470 "," $5,541,674 "," $6,360,862 "," $6,737,529 "," $6,416,449 "," $6,799,085 "
,Advertising," $28,870,750 "," $27,309,270 "," $34,781,559 "," $35,990,989 "," $34,797,952 "," $40,750,230 "," $41,173,863 "," $36,063,758 "," $37,596,043 "," $48,247,335 "
