Domain,Subdomain,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Heritage and Libraries,Archives,623333,767925,956982,1322387,1509624,1845579,1516465,1936258,1844916,65487
Heritage and Libraries,Libraries,114786,153428,171300,253940,160869,202456,241348,474751,455420,394724
Heritage and Libraries,Culture Heritage,9408940,11220682,11863815,12713275,8984958,10214656,10051679,10071067,10733679,14432288
Heritage and Libraries,Natural Heritage,859045,1686295,1371304,1297885,1057873,588300,734812,920693,832980,467425
Live Performance,Performing Arts,53825350,41677135,54565454,22474722,27757835,37178337,34967686,30272499,31918535,33934427
Live Performance,Festivals and Celebrations,9203125,5935096,8779232,11800992,11674413,6346028,13107726,13900317,10099251,11376622
Visual and Applied Arts,Original Visual Art,5371659,6065592,4699856,5132496,4428599,3571306,4043609,3889650,4258256,4086121
Visual and Applied Arts,Art Reproductions,2703217,2734538,2828827,2738846,2939664,2109719,2638255,2903458,2226060,2323615
Visual and Applied Arts,Photography,16202543,20069922,23190041,23375298,28934957,31576621,30472000,24828459,30677166,34083718
Visual and Applied Arts,Crafts,4958257,5278975,4923828,4557574,4817470,5541674,6360862,6737529,6416449,6799085
Visual and Applied Arts,Advertising,28870750,27309270,34781559,35990989,34797952,40750230,41173863,36063758,37596043,48247335
Visual and Applied Arts,Architecture,30894351,37606358,33609618,27933505,30354471,34920601,34176891,36958177,41626105,47052052
Visual and Applied Arts,Design,102074913,110800816,116162048,96590401,120591198,118500966,129683591,142293721,141782960,128364322
Written and Published Works,Books,20907309,29433027,39006220,24267511,23979053,19614767,21717724,25310200,22337102,22890305
Written and Published Works,Periodicals,28380643,29258481,31674498,31062392,25841799,33370465,35153857,39343127,39588665,28440821
Written and Published Works,Newspapers,100756401,107153226,122682290,110430266,99441900,62486488,116303648,110603011,78373478,86035767
Written and Published Works,Other Published Works,604940,550436,1911574,2285922,1849039,1797823,1082504,4142049,3699077,3893568
Written and Published Works,Collected Information,2035161,392658,361546,12764509,22210251,2212613,15344405,9699977,867483,1528061
Written and Published Works,Multi Subdomain,81588178,76936847,93389993,80389906,78879488,79704569,87619303,90773084,89741202,87893922
Audio-Visual and Interactive Media,Film and Video,33179182,35453776,32323510,39853307,47776682,37389233,34181022,34294561,37947683,47890526
Audio-Visual and Interactive Media,Broadcasting,183640197,229622350,236156064,204547388,218986638,206424331,204236528,229778170,129566940,123148496
Audio-Visual and Interactive Media,Interactive Media,147480111,166251644,177553385,120676347,131650419,136782071,178121270,146293826,179408311,184794582
Sound Recording,Music Publishing,1954015,1753629,1964859,1708701,1846036,2303930,2513993,3325547,3001737,2871357
Sound Recording,Sound Recording,3160621,3477345,4532570,3924437,4813201,4824086,5957941,4633393,5986198,6031156
Education and Training,Education and Training,140253952,163360009,157213654,144035988,134340214,134212574,149102832,143175561,149186289,153512269
"Governance, Funding and Professional Support","Governance, Funding and Professional Support",834043867,900748641,844983771,979189672,1269836768,1069928535,1215446438,1084005646,1283683223,1175902819
Multi,Multi,31073065,33093323,51481871,36104249,33765512,24212648,25133770,34919447,21898630,23496154
Non-Culture Products,Non-Culture Products,431182516,482681467,515883737,527941174,624091470,573398860,633584548,606889020,662082561,657413117
Sport,Informal Sport,17957145,15641697,16716769,14863665,23711846,26353137,25044626,25817450,23266199,28918855
Sport,Organized Sport,135636923,53977164,56920879,58859493,112614147,65191684,67508550,53890202,69708366,36760957
Sport,Sport Education and Training,79713706,93688201,89755776,82134167,77181107,77779154,89464475,86674224,88910076,93557140
Sport,"Sport Governance, Funding and Professional Support",125432110,130826513,123622612,141250232,187065115,161778767,195745425,162160395,191482362,178730833
Non-Sport Products,Non-Sport Products,67011553,54639974,52097551,55855514,76795059,65398336,87673119,76522559,86758837,79335501
